,word,markdown,first,second
4683,dota,,0,0
4641,dots,,0,0
190,double,0,0,0
1235,doubt,,0,0
981,douche,,0,0
5698,douchebag,,0,0
2201,downright,,0,0
1831,downtown,,0,0
3835,downtrodden,,0,0
1722,dozen,,0,0
734,dr,0,0,0
16,drab,8,artstyle,style
6465,draft,,0,0
2462,dragon,,0,0
2480,dragons,,0,0
6424,drama,,0,0
3628,dramas,,0,0
1486,dramatic,,0,0
3708,dramatically,,0,0
3537,dramatized,,0,0
4529,drap,,0,0
4197,drastic,,0,0
1328,draw,,0,0
2039,drawing,,0,0
3157,drawings,,0,0
1367,drawn,,0,0
2377,draws,,0,0
2162,dread,,0,0
4662,dream,,0,0
5208,dreamworks,,0,0
2373,dreary,,0,0
5372,dreds,,0,0
347,dress,5,outfit,character
105,dressed,5,outfit,character
868,dresses,,0,0
34,dressing,5,outfit,character
2975,drew,,0,0
2038,drill,,0,0
5777,driller,,0,0
853,drink,,0,0
5142,dripping,,0,0
781,drive,0,0,0
5868,driven,,0,0
5862,driver,,0,0
3647,driving,,0,0
5119,drone,,0,0
6408,droole,,0,0
5551,drooped,,0,0
5552,drooping,,0,0
5489,drop,,0,0
2045,dropoff,,0,0
5482,dropout,,0,0
5495,dropped,,0,0
886,drug,,0,0
918,drugdealer,,0,0
5999,drugs,,0,0
2830,druid,,0,0
4957,drunkard,,0,0
5437,druthers,,0,0
2254,dry,,0,0
228,ds,0,0,0
303,dual,0,0,0
6531,duck,,0,0
4831,dude,,0,0
870,dudes,,0,0
3,due,0,0,0
3168,dull,,0,0
3434,dullards,,0,0
2051,dumb,,0,0
6553,dumbed,,0,0
6201,dumpy,,0,0
610,dune,0,0,0
2252,dungeon,,0,0
5887,dust,,0,0
6417,dusty,,0,0
3449,duty,,0,0
2758,dwarf,,0,0
3871,dwelling,,0,0
3844,dying,,0,0
147,dynamic,9,personalities,style
4768,dyou,,0,0
1182,dystopian,,0,0
4077,eager,,0,0
4811,eagerness,,0,0
5199,eahg,,0,0
5058,ealistic,,0,0
4566,eapons,,0,0
1836,ear,,0,0
4909,earlier,,0,0
1095,early,,0,0
6010,earn,,0,0
1882,earpiece,,0,0
567,earrings,5,outfit,character
3037,ears,,0,0
1643,earth,,0,0
1739,earthwar,,0,0
3227,earthy,,0,0
424,easier,0,0,0
1529,easiest,,0,0
